id,period,year,t,corridor,src,dst,firm,firm_type,access_point,speed_band,speed_hours,transparent,network_coverage,pickup_method,payment_instrument,fee_pct_200,fx_margin_200,total_cost_200,fee_pct_500,fx_margin_500,total_cost_500
15011,2011_1Q,2011,2011.0,TZAUGA,TZA,UGA,MoneyGram,Money Transfer Operator,Not available,Next day,24.0,yes,Nationwide,bank account,,30.0,-0.41,29.59,12.0,-0.41,11.59
15008,2011_1Q,2011,2011.0,TZAUGA,TZA,UGA,Stanbic Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,27.5,2.58,30.08,11.0,2.58,13.58
15002,2011_1Q,2011,2011.0,TZAUGA,TZA,UGA,Exim Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,30.0,0.18,30.18,12.0,0.18,12.18
15003,2011_1Q,2011,2011.0,TZAUGA,TZA,UGA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,30.0,1.03,31.03,12.0,1.03,13.03
15009,2011_1Q,2011,2011.0,TZAUGA,TZA,UGA,Standard Chartered Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,45.0,0.65,45.65,18.0,0.65,18.65
28332,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,Citibank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,2.5,1.12,3.62,1.0,1.12,2.12
28339,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,United Bank for Africa (UBA),Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,2.89,2.06,4.95,2.06,2.06,4.12
28340,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,6.66,2.25,8.91,5.55,2.25,7.8
28331,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,ABC Bank,Money Transfer Operator,Not available,2 days,48.0,yes,Nationwide,bank account,,8.33,0.94,9.27,3.3299999999999996,0.94,4.27
28334,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,Ecobank,Bank,Not available,Same day,12.0,yes,Major cities,cash,,7.710000000000001,2.25,9.96,6.869999999999999,2.25,9.12
28338,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Main city,cash,,6.11,4.21,10.32,4.89,4.21,9.1
28335,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,Equatorial Commercial Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.33,2.25,10.58,3.33,2.25,5.58
28333,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,Development Bank of Kenya,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.11,0.84,11.95,4.45,0.84,5.29
28336,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,Fina Direct,Bank,Not available,Same day,12.0,yes,Nationwide,bank account,,8.34,3.65,11.99,3.3400000000000003,3.65,6.99
28337,2011_3Q,2011,2011.5,KENRWA,KEN,RWA,KCB,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.11,4.78,15.89,4.44,4.78,9.22
28342,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Citibank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,2.5,1.12,3.62,1.0,1.12,2.12
28350,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,UBA Africash,Bank,Not available,Same day,12.0,yes,Major cities,cash,,2.89,0.84,3.73,2.06,0.84,2.9
28349,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Posta Kenya,Post office,Not available,3-5 days,96.0,no,Nationwide,cash,,8.33,0.0,8.33,5.56,0.0,5.56
28351,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,United Bank for Africa (UBA),Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.34,0.84,9.18,3.34,0.84,4.18
28341,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,ABC Bank,Money Transfer Operator,Not available,2 days,48.0,yes,Nationwide,bank account,,8.33,0.94,9.27,3.3299999999999996,0.94,4.27
28344,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Ecobank,Bank,Not available,Same day,12.0,yes,Major cities,cash,,7.710000000000001,2.25,9.96,3.08,2.25,5.33
28352,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Western Union,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,6.66,3.56,10.22,5.55,2.25,7.8
28348,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,MoneyGram,Money Transfer Operator,Not available,Less than one hour,0.5,yes,Nationwide,cash,,6.11,4.21,10.32,4.89,4.21,9.1
28345,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Equatorial Commercial Bank,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,8.33,2.25,10.58,3.33,2.25,5.58
28343,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Development Bank of Kenya,Bank,Not available,2 days,48.0,yes,Nationwide,bank account,,11.11,0.84,11.95,4.45,0.84,5.29
28346,2011_3Q,2011,2011.5,KENUGA,KEN,UGA,Fina Direct,Bank,Not available,Same day,12.0,yes,Major cities,bank account,,8.34,3.65,11.99,3.3400000000000003,3.65,6.99
